brand,store_name,banner_stated,format,status,street,city,state,zip,phone,venue,source_url,format_basis,flag,correction,captured_on,source_file
Brooks Brothers,Stanford Shopping Center,,own-door,open,180 El Camino Real,Palo Alto,CA,94304,(650) 462-0936,,https://stores.brooksbrothers.com/ca/palo-alto/180-el-camino-real,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Union Square,,own-door,open,170 O'Farrell Street,San Francisco,CA,94102,(415) 397-3333,,https://stores.brooksbrothers.com/ca/san-francisco/170-o-farrell-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Danbury Fair Mall,,own-door,open,7 Backus Avenue Suite B109,Danbury,CT,06810,(203) 794-1142,,https://stores.brooksbrothers.com/ct/danbury/7-backus-avenue,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Westfarms Mall,,own-door,open,445 Westfarms Mall Space B109,Farmington,CT,06032,(860) 521-6624,,https://stores.brooksbrothers.com/ct/farmington/445-westfarms-mall,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Westport,,own-door,open,136 Main Street,Westport,CT,06880,(203) 226-7678,,https://stores.brooksbrothers.com/ct/westport/136-main-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Connecticut Avenue,,own-door,open,1120 Connecticut Avenue Northwest Suite 103,Washington,DC,20036,(202) 659-4650,,https://stores.brooksbrothers.com/dc/washington/1120-connecticut-avenue-northwest,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Aventura Mall,,own-door,open,19501 Biscayne Boulevard 773,Aventura,FL,33180,(305) 466-4375,,https://stores.brooksbrothers.com/fl/aventura/19501-biscayne-boulevard,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Coconut Point,,own-door,open,23161 Fashion Drive 109,Estero,FL,33928,(239) 948-2177,,https://stores.brooksbrothers.com/fl/estero/23161-fashion-drive,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,The Falls,,own-door,open,8888 Southwest 136th St. Suite 360,Miami,FL,33176,(305) 259-7870,,https://stores.brooksbrothers.com/fl/miami/8888-southwest-136th-st,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,The Gardens,,own-door,open,3101 PGA Boulevard Q243,Palm Beach Gardens,FL,33410,(561) 775-0383,,https://stores.brooksbrothers.com/fl/palm-beach-gardens/3101-pga-boulevard,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Lenox Square,,own-door,open,3393 Peachtree Road NE Space 4015C,Atlanta,GA,30326,(404) 237-7000,,https://stores.brooksbrothers.com/ga/atlanta/3393-peachtree-road-ne,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Perimeter Mall,,own-door,open,4400 Ashford Dunwoody Road Space #1570,Atlanta,GA,30346,(770) 394-9051,,https://stores.brooksbrothers.com/ga/atlanta/4400-ashford-dunwoody-road,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,900 North Michigan Shops,,own-door,open,900 North Michigan Avenue L2-6,Chicago,IL,60611,(312) 361-1525,,https://stores.brooksbrothers.com/il/chicago/900-north-michigan-avenue,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Westfield Old Orchard,,own-door,open,4999 Old Orchard Center Suite B40,Skokie,IL,60077,(847) 679-9090,,https://stores.brooksbrothers.com/il/skokie/4999-old-orchard-center,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Fashion Mall At Keystone,,own-door,open,8702 Keystone Crossing Suite 161,Indianapolis,IN,46240,(317) 846-1660,,https://stores.brooksbrothers.com/in/indianapolis/8702-keystone-crossing,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Town Center Plaza,,own-door,open,5220 W.119th Street Suite 2095,Leawood,KS,66209,(913) 338-1789,,https://stores.brooksbrothers.com/ks/leawood/5220-w-119th-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Oxmoor Center,,own-door,open,7900 Shelbyville Rd Space C2,Louisville,KY,40222,(502) 632-5895,,https://stores.brooksbrothers.com/ky/louisville/7900-shelbyville-rd-space-c2,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Canal Place,,own-door,open,333 Canal Street Space 1.21A,New Orleans,LA,70130,(504) 522-4200,,https://stores.brooksbrothers.com/la/new-orleans/333-canal-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Newbury Street,,own-door,open,109 Newbury Street Ste 104,Boston,MA,02116,(617) 250-8989,,https://stores.brooksbrothers.com/ma/boston/109-newbury-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Shops At Chestnut Hill,,own-door,open,199 Boylston St Suite N105C,Chestnut Hill,MA,02467,(617) 964-3600,,https://stores.brooksbrothers.com/ma/chestnut-hill/199-boylston-st-suite-n105c,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Natick Mall,,own-door,open,1245 Worcester St Space 2072,Natick,MA,01760,(508) 650-6920,,https://stores.brooksbrothers.com/ma/natick/1245-worcester-st-ste-2072,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Northshore Mall,,own-door,open,210 Andover St. Space X-117,Peabody,MA,01960,(978) 538-0090,,https://stores.brooksbrothers.com/ma/peabody/210-andover-st,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Collection Chevy Chase,,own-door,open,5481 Wisconsin Avenue 105-107,Chevy Chase,MD,20815,(301) 654-8202,,https://stores.brooksbrothers.com/md/chevy-chase/5481-wisconsin-avenue,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Renaissance At Colony Park,,own-door,open,1000 Highland Colony Pkwy Suite 9008,Ridgeland,MS,39157,(601) 607-7200,,https://stores.brooksbrothers.com/ms/ridgeland/1000-highland-colony-pkwy,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Shops At Friendly Center,,own-door,open,3334 W.Friendly Avenue Suite 110,Greensboro,NC,27410,(336) 294-0256,,https://stores.brooksbrothers.com/nc/greensboro/3334-w-friendly-avenue,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Crabtree Valley Mall,,own-door,open,4325 Glenwood Avenue Suite 2026,Raleigh,NC,27612,(919) 783-9050,,https://stores.brooksbrothers.com/nc/raleigh/4325-glenwood-avenue,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Cherry Hill Mall,,own-door,open,2000 NJ-38 1055,Cherry Hill,NJ,08002,(856) 320-9017,,https://stores.brooksbrothers.com/nj/cherry-hill/2000-nj-38,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Shops At Riverside,,own-door,open,390 Hackensack Avenue Space 123A,Hackensack,NJ,07601,(201) 343-4318,,https://stores.brooksbrothers.com/nj/hackensack/390-hackensack-avenue,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Garden State Plaza,,own-door,open,500 Garden State Plaza Parkway Space 123A,Paramus,NJ,07652,(201) 843-9100,,https://stores.brooksbrothers.com/nj/paramus/500-garden-state-plaza-parkway,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Red Bank,,own-door,open,32-34 Broad Street Space 401,Red Bank,NJ,07701,(732) 415-0095,,https://stores.brooksbrothers.com/nj/red-bank/32-34-broad-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Mall At Short Hills,,own-door,open,1200 Morris Turnpike Suite B145,Short Hills,NJ,07078,(973) 467-5400,,https://stores.brooksbrothers.com/nj/short-hills/1200-morris-turnpike,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Roosevelt Field,,own-door,open,630 Old Country Rd 2040,Garden City,NY,11530,(516) 543-6317,,https://stores.brooksbrothers.com/ny/garden-city/630-old-country-rd,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Walt Whitman Shops,,own-door,open,160 Walt Whitman Road Suite 1101,Huntington Station,NY,11746,(631) 549-7089,,https://stores.brooksbrothers.com/ny/huntington-station/160-walt-whitman-road,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Americana Manhasset,,own-door,open,2030 Northern Boulevard 2040,Manhasset,NY,11030,(516) 203-8939,,https://stores.brooksbrothers.com/ny/manhasset/2030-northern-boulevard,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,1180 Madison Avenue,,own-door,open,1180 Madison Avenue,New York,NY,10028,(212) 289-5027,,https://stores.brooksbrothers.com/ny/new-york/1180-madison-avenue,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Rockefeller Center,,own-door,open,1270 Ave Of The Americas,New York,NY,10020,(212) 247-9374,,https://stores.brooksbrothers.com/ny/new-york/1270-ave-of-the-americas,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Herald Square,,own-door,open,151 West 34th Street,New York,NY,10001,(212) 695-4400,,https://stores.brooksbrothers.com/ny/new-york/151-west-34th-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,195 Broadway,,own-door,open,195 Broadway,New York,NY,10007,(646) 213-7660,,https://stores.brooksbrothers.com/ny/new-york/195-broadway,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Destiny USA,,own-door,open,3 Destiny USA Dr Space L-107,Syracuse,NY,13204,(315) 476-7216,,https://stores.brooksbrothers.com/ny/syracuse/3-destiny-usa-dr-space-l-107,SG confirmed 2026-09-06: full-price store,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Eastview Mall,,own-door,open,530 Eastview Mall,Victor,NY,14564,(585) 270-6400,,https://stores.brooksbrothers.com/ny/victor/530-eastview-mall,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,The Westchester,,own-door,open,125 Westchester Avenue Suite 1120A,White Plains,NY,10601,(914) 644-8616,,https://stores.brooksbrothers.com/ny/white-plains/125-westchester-avenue,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Eton Chagrin Blvd.,,own-door,open,28855 Chagrin Blvd. Space 380,Woodmere,OH,44122,(216) 292-8760,,https://stores.brooksbrothers.com/oh/woodmere/28855-chagrin-blvd,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Promenade Shops At Saucon Valley,,own-door,open,2985 Center Valley Parkway Suite 212,Center Valley,PA,18034,(610) 797-4571,,https://stores.brooksbrothers.com/pa/center-valley/2985-center-valley-parkway,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Court At King Of Prussia,,own-door,open,690 West Dekalb Pike Suite 2038,King Of Prussia,PA,19406,(610) 337-9888,,https://stores.brooksbrothers.com/pa/king-of-prussia/690-west-dekalb-pike,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Smithfield Street,,own-door,open,600 Smithfield Street Suite 913,Pittsburgh,PA,15222,(412) 471-2300,,https://stores.brooksbrothers.com/pa/pittsburgh/600-smithfield-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Providence Place,,own-door,open,56 Providence Place Sp 3090,Providence,RI,02903,(401) 270-4100,,https://stores.brooksbrothers.com/ri/providence/56-providence-place,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Victoria Center,,own-door,open,205 King Street,Charleston,SC,29401,(843) 723-9405,,https://stores.brooksbrothers.com/sc/charleston/205-king-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,The Galleria,,own-door,open,5085 Westheimer Rd Space B8010,Houston,TX,77056,(713) 627-2057,,https://stores.brooksbrothers.com/tx/houston/5085-westheimer-rd,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Shops At Willow Bend,,own-door,open,6121 West Park Blvd. Suite A108,Plano,TX,75093,(972) 202-4616,,https://stores.brooksbrothers.com/tx/plano/6121-west-park-blvd,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Shops At Stonefield,,own-door,open,2055 Bond Street Ste 110,Charlottesville,VA,22901,(434) 244-2922,,https://stores.brooksbrothers.com/va/charlottesville/2055-bond-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Tysons Corner Center,,own-door,open,1961 Chain Bridge Road G16L,McLean,VA,22102,(703) 556-6566,,https://stores.brooksbrothers.com/va/mclean/1961-chain-bridge-road,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Fashion Park At Stony Point,,own-door,open,9200 Stony Point Parkway Suite 135,Richmond,VA,23235,(804) 272-8424,,https://stores.brooksbrothers.com/va/richmond/9200-stony-point-parkway,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brooks Brothers,Town Center Of Virginia Beach,,own-door,open,4554 Bank Street 879,Virginia Beach,VA,23462,(757) 497-4769,,https://stores.brooksbrothers.com/va/virginia-beach/4554-bank-street,venue inferred as full-price — locator publishes no store-type field,,,2026-09-05,brooks_brothers_classified_2026-09-05.csv
Brunello Cucinelli,SCOTTSDALE,,own-door,open,7014 E. Camelback Road Space 1103,,AZ,85251,+1 480-870-6201,,https://shop.brunellocucinelli.com/en-us/boutique/scottsdale-362.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Scottsdale'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,PACIFIC PALISADES,,own-door,open,1020 Swarthmore Avenue,,CA,90272,+1 424 268 3710,,https://shop.brunellocucinelli.com/en-us/boutique/pacific-palisades-347.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Pacific Palisades'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,SAN FRANCISCO,,own-door,open,114 Grant Avenue,,CA,94108,+1 415 982 1200,,https://shop.brunellocucinelli.com/en-us/boutique/san-francisco-322.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('San Francisco'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,MONTECITO,,own-door,open,1759 S Jameson Ln,,CA,93108,805 456 5201,,https://shop.brunellocucinelli.com/en-us/boutique/montecito-356.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Montecito'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Store page publishes a truncated telephone ('805' - the schema.org field is cut to the first number group). Phone taken from the locator entry, which publishes it in full.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,BEVERLY HILLS NEW CONCEPT,,own-door,open,220 N Rodeo Drive,,CA,90210,424-394-0255,,https://shop.brunellocucinelli.com/en-us/boutique/beverly-hills-new-concept-376.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Beverly Hills New Concept'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Store page publishes a truncated telephone ('424' - the schema.org field is cut to the first number group). Phone taken from the locator entry, which publishes it in full. Published hours open at 00:00 on 'Sun 00:00-17:00' - a placeholder, not a trading time. Recorded verbatim, not cleaned.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,SOUTH COAST PLAZA,,own-door,open,3333 Bristol Street,,CA,92626,+1 714 957 6930,,https://shop.brunellocucinelli.com/en-us/boutique/south-coast-plaza-311.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('South Coast Plaza'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,PALO ALTO,,own-door,open,359A Stanford Shopping Center,,CA,94304,650 613 6100,,https://shop.brunellocucinelli.com/en-us/boutique/palo-alto-361.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Palo Alto'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Store page publishes a truncated telephone ('650' - the schema.org field is cut to the first number group). Phone taken from the locator entry, which publishes it in full.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,BEVERLY HILLS,,own-door,open,428 North Rodeo Drive,,CA,90210,+1 310 724 8118,,https://shop.brunellocucinelli.com/en-us/boutique/beverly-hills-305.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Beverly Hills'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Published hours open at 00:00 on 'Sun 00:00-17:00' - a placeholder, not a trading time. Recorded verbatim, not cleaned.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,SAN DIEGO,,own-door,open,"4305 La Jolla Village Dr., Space #2500",,CA,92122,858-617-0010,,https://shop.brunellocucinelli.com/en-us/boutique/san-diego-375.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('San Diego'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Store page publishes a truncated telephone ('858' - the schema.org field is cut to the first number group). Phone taken from the locator entry, which publishes it in full.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,CARMEL,,own-door,open,"Carmel Plaza, Ocean Ave & Junipero St, Suite 204, Carmel-By-The-Sea",Carmel-By-The-Sea,CA,93921,831-607-8500,,https://shop.brunellocucinelli.com/en-us/boutique/carmel-372.html,brand-stated: no host in name = boutique,,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Carmel'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Store page publishes a truncated telephone ('831' - the schema.org field is cut to the first number group). Phone taken from the locator entry, which publishes it in full. This is the one door whose locator address line includes a city ('Carmel-By-The-Sea'), printed inside the street string. Kept in street verbatim and also placed in city, because the brand published it.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,VAIL,,own-door,open,141 East Meadow Drive Unit 101,,CO,81657,970-306-7155,,https://shop.brunellocucinelli.com/en-us/boutique/vail-366.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Vail'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Locator prints the state as the full name 'Colorado'; recorded as CO. Verbatim token kept in state_token_stated. Store page publishes a truncated telephone ('970' - the schema.org field is cut to the first number group). Phone taken from the locator entry, which publishes it in full.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,ASPEN,,own-door,open,508 East Cooper Avenue,,CO,81611,+1 970 544 0600,,https://shop.brunellocucinelli.com/en-us/boutique/aspen-318.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Aspen'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,WASHINGTON,,own-door,open,985 I Street NW,,DC,20001,202 919 5755,,https://shop.brunellocucinelli.com/en-us/boutique/washington-345.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Washington'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Store page publishes a truncated telephone ('202' - the schema.org field is cut to the first number group). Phone taken from the locator entry, which publishes it in full.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,MIAMI DESIGN DISTRICT,,own-door,open,139 NE 39th Street,,FL,33137,+1 305-446-4030,,https://shop.brunellocucinelli.com/en-us/boutique/miami-design-district-368.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Miami Design District'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,PALM BEACH,,own-door,open,216 - 218 Worth Avenue,,FL,33480,+1 561 671 5977,,https://shop.brunellocucinelli.com/en-us/boutique/palm-beach-328.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Palm Beach'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,NAPLES,,own-door,open,"5375 Tamiami Trail N, Space E-7",,FL,34108,239-467-3300,,https://shop.brunellocucinelli.com/en-us/boutique/naples-374.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Naples'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Store page publishes a truncated telephone ('239' - the schema.org field is cut to the first number group). Phone taken from the locator entry, which publishes it in full.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,BOCA RATON,,own-door,open,"6000 West Glades Road, Unit 1139-A",,FL,33431,561-705-8500,,https://shop.brunellocucinelli.com/en-us/boutique/boca-raton-373.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Boca Raton'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates. Store page publishes a truncated telephone ('561' - the schema.org field is cut to the first number group). Phone taken from the locator entry, which publishes it in full. Published hours open at 00:00 on 'Sun 00:00-18:00' - a placeholder, not a trading time. Recorded verbatim, not cleaned.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,MIAMI,,own-door,open,9700 Collins Ave,,FL,33154,+1 305 864 4833,,https://shop.brunellocucinelli.com/en-us/boutique/miami-308.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Miami'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,ATLANTA,,own-door,open,3500 Peachtree Road NE Ste. 1002D,,GA,30326,+1 404 467 4080,,https://shop.brunellocucinelli.com/en-us/boutique/atlanta-321.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Atlanta'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
Brunello Cucinelli,ALA MOANA,,own-door,open,1450 Ala Moana Boulevard,,HI,96814,+1 808 949 3680,,https://shop.brunellocucinelli.com/en-us/boutique/ala-moana-323.html,brand-stated: no host in name = boutique,City omitted by brand on all US rows — see correction,"City is not published by the brand anywhere for this door. The locator address line prints street, state and ZIP with no city. The store page's schema.org addressLocality field carries the BOUTIQUE NAME, not the city ('Ala Moana'), so it cannot be used as a city. Left blank rather than derived; no city was inferred from ZIP or coordinates.",2026-09-06,brunello_cucinelli_classified_2026-09-06.csv
