brand,tee_low,tee_high,polo_low,polo_high,dress_shirt_low,dress_shirt_high,jeans_low,jeans_high,dress_pants_low,dress_pants_high,sweater_low,sweater_high,outerwear_low,outerwear_high,shoes_low,shoes_high,not_a_staple,search_url,store_used,currency_basis,status,source,note
James Perse,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,325,595,425,1995,450,1095,-,SKIP,https://www.jamesperse.com,USD,complete,https://www.jamesperse.com/products.json?limit=250&page=1..8 | https://www.jamesperse.com/products/mens-suede-slip-on-loafer-cafe-smtsu8430,"Feed 1882 products over 8 pages (one product per colourway), Shopify.currency USD rate 1.0, vendor Men's used; storefront Men's Suede Slip On Loafer shows $450.00 USD matching feed; no men's sweater/jacket/loafer marked down. Sweater: low = Cotton Cashmere Raglan Crew $325 (cheapest crew; Stretch Cotton Crew Sweater $350), high = Marled Cashmere Linen Crew $595 (cashmere-linen); the dearest pure-cashmere crews are Lightweight Textured Cashmere Crew and Recycled Cashmere Crew Sweater at $495; cashmere crew gift sets ($725 to $1000) excluded as bundles. Outerwear: Trucker is the cheapest style also sold in suede: low = Cotton Linen Twill Trucker Jacket $425, high = Suede Trucker Jacket $1995 (other truckers: Linen Denim $595, Lined Corduroy $595, Lined Denim $850). Shoes: own-label loafers low = Men's Suede Slip On Loafer $450 (published 2024, few sizes left), high = Men's Calf Leather Loafer and Men's Soft Suede Loafer $1095 (Men's Suede Loafer $995, Men's Coastal Suede Slip On $595); footwear listed under vendor Accessories."
Y.Chroma,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,299,499,775,1249,NONE,NONE,Shoes,SKIP,https://www.ychroma.com,USD,complete,https://www.ychroma.com/products.json?limit=250&page=1 | https://www.ychroma.com/products/daytona-jacket,"range sweater, outerwear | Small catalog: 45 products in feed, Shopify.currency USD rate 1.0; storefront Daytona Jacket shows $975 matching feed; nothing marked down. range sweater: no crewneck sweater sold; only two sweaters: low = Dwayne V-Neck Cashmere $299 (cashmere-cotton V-neck), high = Power Cable Sweater (2026 and 2023 Editions) $499 (100% Pima cotton, buttoned cardigan style). range outerwear: no jacket style sold in both an entry fabric and suede/leather/shearling/cashmere; low = Mazarin Cut Shell $775 (polyester shell with leather trim), high = Mazarin Cut-Down Jacket $1249; also Daytona Jacket $975, Altavista Down Jacket $1049, Ghost Geisha Down Jacket $1199; excluded Varial and Deckmaster Shirt-Cut Jackets ($899/$975, shirt-jackets), Quatro Down Vest $1049, and Drücken Track Jacket $399 / Mazarin Edit $499 (activewear track jacket from the Drücken workout line; if counted, outerwear low would be $399). Shoes NONE: no footwear in feed (only sunglasses, leather case and furoshiki as accessories)."
Madhappy,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,https://www.madhappy.com,USD,partial,https://www.madhappy.com/ | https://www.madhappy.com/password | https://www.madhappy.com/products.json,"Not reached: the whole storefront is password-gated on 2026-09-18 - homepage, /collections/all, /collections/mens and /search all redirect to /password (a sign-in / membership page), and /products.json returns 401. Signing in is not allowed under the spec, so no prices could be read; Shopify.currency on the gate page is USD rate 1.0 (currency_basis recorded from that only). Retry later when the store reopens."
Kith,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,150,395,245,1495,NONE,NONE,Shoes,SKIP,https://kith.com,USD,complete,https://kith.com/products.json?limit=250&page=1..59 | https://kith.com/products/khm011240-416,"range sweater | Multi-brand retailer, feed 14750 products over 59 pages (434 vendors), Shopify.currency USD rate 1.0; only vendor Kith (men's) counted, excluding every Kith for/&/x collaboration; storefront Kith Textured Indigo Alonzo Jacket shows $245.00 matching feed; no relevant item marked down. range sweater: no men's cashmere or other elevated-fibre crewneck (the only cashmere sweater is a turtleneck), so category range used: low = Kith Compact Knit Nelson Crewneck $150 (type Crewneck Sweaters, sold out; cheapest in stock is Basketweave Tilden Crewneck Sweater $175), high = Kith &Kin Cashmere Cyrus Turtleneck $395 (&Kin is a Kith sub-line under vendor Kith; without it high would be Marlon Full Zip Sweater $345); items typed Crewnecks (Nelson/Lawson/Vintage crewnecks) are sweatshirts and excluded. Outerwear: Alonzo is the cheapest style also sold in suede/leather: low = Kith Textured Indigo Alonzo Jacket $245 (also Herringbone Denim Alonzo $255, Garment Dyed Alonzo $295, &Kin Rope Twill Alonzo $495), high = Kith Vintage Leather Alonzo Jacket $1495 (Suede Alonzo Jacket $1250). Shoes NONE: every men's shoe under the Kith vendor is a collaboration (Kith for On, adidas, ASICS, Salomon, Birkenstock; Ronnie Fieg for Clarks/Diemme/New Balance); only non-collab footwear is Kith Women slides/slippers; loafers on the site are all stocked third-party brands."
Aimé Leon Dore,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,300,575,300,1300,395,500,-,SKIP,https://www.aimeleondore.com,USD,complete,https://www.aimeleondore.com/products.json?limit=250&page=1..3 | https://www.aimeleondore.com/products/queens-crest-loafer-4,"range sweater, outerwear | Feed 705 products over 3 pages, Shopify.currency USD rate 1.0; women's items (tags dev-product-type-women / womens) and ALD / partner collaborations excluded; storefront Queens Crest Loafer shows $395 matching feed; nothing relevant marked down. range sweater: no men's crewneck pullover sweater in an elevated fibre (Pavilion Cashmere Crewneck Sweatshirt $550 is a cotton-lined cashmere sweatshirt, excluded as sweatshirt; wool crewnecks only wool-blend); low = Crest Raglan Sweater $300 (100% cotton crewneck, the cheapest crew), high = Quarter Zip Pavilion Cashmere Pullover $575 (dearest sweater pullover; Full-Zip Pavilion Cashmere Hoodie $595 and Pavilion Cashmere Sweatpant $550 in the same product type excluded). If the cashmere sweatshirt is accepted as the elevated crewneck, sweater_high would be $550. range outerwear: no own-label jacket style in both entry fabric and suede/leather (Suede Cafe Racer Jacket has no cloth version; the leather varsity is ALD / Technics collab); low = Crest Casual Jacket and Micro Logo Lightweight Jacket $300 (fleece/nylon half-zip pullovers $260 to $300 excluded as pullovers), high = Suede Cafe Racer Jacket $1300. Shoes: own-label loafers low = Queens Crest Loafer $395 (penny loafer), high = Croc-Embossed Crest Salóni Loafer $500 (Crest Salóni Loafer $450); Queens Crest Penny $25 is a brass penny accessory; ALD / New Balance, Clarks, Last Resort, North Face footwear excluded as collabs."
Massimo Dutti,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,100,590,180,690,200,320,-,SKIP,https://www.massimodutti.com/us,USD,complete,"https://www.massimodutti.com/us/men/jumpers/crew-neck-n1388 | https://www.massimodutti.com/us/men/cashmere/jumpers-n4526 | https://www.massimodutti.com/us/men/jackets-n1372 | https://www.massimodutti.com/us/men/shoes/moccasins-n1422 | https://www.massimodutti.com/itxrest/3/catalog/store/34009527/30359506/category/{1700073,2203465,680512,2096776}/product | https://www.massimodutti.com/itxrest/3/catalog/store/34009527/30359506/productsArray | https://www.massimodutti.com/us/leather-penny-loafer-l12720850","range outerwear | Category grids show no prices, so prices read from the site's own catalog API (store 34009527, catalog MD_USA 30359506) for every product id in each category (crew neck 70 of 70, cashmere jumpers 53 of 53, jackets 76 of 76, moccasins 29 of 29; a few ids return no name/price, likely unavailable); API prices in cents; storefront Leather penny loafer shows $320 matching API; no oldPrice (markdown) on any item. Sweater: low = Cable-knit round neck sweater and 100% merino wool round neck knit sweater $100 (100% cotton short sleeve knit sweater $80 and short-sleeve/henley styles excluded), high = 100% cashmere cable knit sweater $590 (in crew-neck category; plain Knit 100% cashmere round neck sweater is $320, 100% cashmere argyle $490). range outerwear: jackets are named descriptively, not by style, so no entry/elevated pair of the same style could be established with confidence (suede corduroy and technical suede items at $220 to $290 are suede-effect fabrics); plain range of men's jackets category excluding gilets, cardigans, overshirts and sweatshirt: low = Regular Fit Cotton Denim Jacket $180, high = Nubuck leather jacket with stand-up collar $690 (suede and nappa leather jackets $590). Shoes: moccasins/loafers category: low = Soft split leather loafers, Split suede leather loafer and Split leather loafers with moc toe $200, high = Leather penny loafer and Leather tassel loafer $320. US prices shown without tax (standard US)."
Vineyard Vines,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,108,328,168,228,43,99,-,SKIP,https://www.vineyardvines.com,USD,complete,https://www.vineyardvines.com/category/men-crewneck-sweaters | https://www.vineyardvines.com/category/mens-sweaters | https://www.vineyardvines.com/category/Mens-Blazers?sortBy=products_sorted_by_price_descending_prod | https://www.vineyardvines.com/category/mens-shoes,"range outerwear, shoes | Site now runs a Salesforce PWA with Algolia listings and viewport-virtualised tiles; read from rendered category pages (crewneck 6 of 6, jackets and vests 44 of 44, shoes 9 of 9); a site-wide Friends and Family 30% off promotion is running, struck-through list prices used, plus some clearance markdowns (list price used). Sweater: low = Folly Beach Garment-Dyed Crewneck / Folly Beach Textured Stripe Crewneck $108, high = Cashmere Silk Crewneck Sweater $328 (list; currently clearance $76.98). range outerwear: men's Jackets and Vests category contains no suede/leather/shearling jacket, so no entry/elevated pair; excluding sport coats/blazers, vests and quarter-zips: low = Stow and Go Shep Jacket $168 (another Stow and Go Shep Jacket listing is $178; Skyward Anorak $178), high = Seadrift Surf Jacket $228 (list; currently clearance $89.97). range shoes: no loafers; men's Shoes and Socks sells only own-label flip flops and slides: low = Classic Whale Foam Flip Flops $42.50, high = Embroidered American Flag Leather Flip Flops / Contoured Leather Flip Flops $98.50 (rounded half-up to 43 and 99). The men's outerwear lives under /category/Mens-Blazers (titled Jackets, Vests and Blazers); /category/mens-outerwear returns no matches."
Polo Ralph Lauren,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,130,498,185,798,178,548,-,SKIP,https://www.ralphlauren.com,USD,complete,https://www.ralphlauren.com/men-clothing-sweaters?prefn1=Brand&prefv1=Polo%20Ralph%20Lauren | https://www.ralphlauren.com/brands-polo-ralph-lauren-men-outerwear-cg | https://www.ralphlauren.com/men-footwear-loafers,"Carried from the 18 Sep pilot, not re-read. Filtered to the Polo Ralph Lauren label. Sweater: Mesh-Knit Cotton Crewneck 130 -> The Iconic Cable-Knit Cashmere Sweater 498. Outerwear (76 items): Bayport Poplin Jacket 185 -> Bayport Suede Jacket 798. Shoes (Polo-label loafers): Alston Suede Penny 178 -> Maestra loafers 548; Purple Label loafers (995) excluded. The Brand filter on sweaters leaks non-sweater and boys' tiles, so its '295 items' count is not a sweater count."
RRL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,395,1800,495,2200,195,1400,-,SKIP,https://www.ralphlauren.com,USD,complete,"https://www.ralphlauren.com/brands-double-rl-men-shop-all-cg?prefn1=CategoryCode&prefv1=Sweaters&ns=sweaters&sz=200&srule=price-low-to-high | https://www.ralphlauren.com/brands-double-rl-men-shop-all-cg (Outerwear and Shoes category links, sz=200, price low to high) | https://www.ralphlauren.com/men-clothing-sweaters/waffle-knit-cotton-wool-sweater/100028156.html","range sweater, shoes | Read from the RRL-only men's shop-all category (brands-double-rl-men-shop-all-cg, 358 items) filtered by its own Category links, not the Brand facet; every tile labelled RRL; guessed per-label slugs like brands-double-rl-men-outerwear-cg return 404. Tile prices are Standard Price in USD. range sweater: 20 sweaters, only one crewneck (Waffle-Knit Cotton-Wool Sweater $395, crewneck with V-inset) and no cashmere crewneck, so category range used: low $395, high = Patchwork Wool-Blend Sweater Jacket $1800 (Plaid Wool Cardigan $1400; Wool-Cashmere and cashmere pieces are cardigans or workshirt sweaters). Outerwear: 29 items; Flight Jacket is the cheapest style clearly named in both entry and elevated versions: low = Wool-Blend Flight Jacket $495, high = Suede Flight Jacket $2200; denim truckers start at $390 but no suede/leather trucker is named as such (Roughout Suede Jacket $1900 has a point collar, style unconfirmed); vests and Suede Western Shirt Jacket excluded; dearest outerwear overall Shearling-Panel Leather Jacket $2800. range shoes: no loafers among 17 RRL shoes; low = Leather Flip-Flop $195 (cheapest non-sandal is Canvas Sneaker $245), high = Roughout Suede Boot / Leather Boot / Plainview Roughout Suede Boot $1400. Only markdowns seen were two sweaters (Wool-Cotton Shawl-Collar Cardigan was $945, Airplane-Graphic Full-Zip Cardigan was $1400), not used as bounds."
J.McLaughlin,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,298,328,348,998,328,565,-,SKIP,https://www.jmclaughlin.com,USD,complete,https://www.jmclaughlin.com/collections/men-sweaters | https://www.jmclaughlin.com/collections/men-jackets-outerwear | https://www.jmclaughlin.com/collections/men-shoes | https://www.jmclaughlin.com/products/winston-suede-jacket-solid-espresso | https://www.jmclaughlin.com/products/spade-chore-jacket-solid-dk-navy | https://www.jmclaughlin.com/products/suede-overshirt-solid-navy,"range outerwear | Headless Shopify storefront: /products.json returns 404, so prices read from rendered collection pages after scrolling to load all tiles (sweaters 41 of 41, jackets/outerwear 20 of 20, shoes 13 of 13) and product pages for necklines; USD, no markdowns seen. Sweater: crewnecks are Hewitt Sweater (90% wool 10% cashmere), Aidan Sweater (wool-cotton cable crew) and their variants at $298, and Caldwell Cashmere Sweater (100% cashmere crew) $328: low $298, high $328; other cashmere pieces are polos, V-necks, quarter-zips or mock necks. range outerwear: no style offered in both entry fabric and suede; the category is mostly Suffolk/Lawerence/Notting/Canary sport coats and blazers plus Nicholas Quilted Vest (excluded); low = Spade Chore Jacket $348 (100% wool chore jacket), high = Winston Suede Jacket $998 (goat suede hunting jacket); Charlestown Jacket $498 in between; Fieldston Suede Jacket $898 (handle suede-overshirt, button-front spread-collar) excluded as a shirt-jacket. Shoes: own-label loafers low = Oskar Suede / Oskar Leather Belgian Loafers $328 (Camden moccasins also $328), high = Ezra Suede Tassel Loafers $565; J.McLaughlin x Walksauce Ward Velvet Slippers $625 excluded as collab."
Peter Millar,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,235,998,178,1295,275,395,-,SKIP,https://www.petermillar.com,USD,complete,https://www.petermillar.com/c/men/tops/sweaters?srule=price-low-to-high&sz=200 | https://www.petermillar.com/c/men/outerwear/jackets-and-coats?srule=price-low-to-high&sz=200 | https://www.petermillar.com/c/men/shoes?srule=price-low-to-high&sz=200,"Category pages sorted price low to high with sz=200 (no item count printed; lists end before the recommendations carousel); USD, no markdowns shown. Sweater: low = Autumn Crest Honeycomb Crewneck Sweater $235 (Crown), high = First Fleece Cashmere Crewneck Sweater $998 (Crown Crafted, Peter Millar's upper own-label tier); if only the Crown line counts, high = Crown Heritage Cashmere Crewneck Sweater $358. Outerwear: chore coat is the cheapest style also sold in cashmere: low = Oasis Chore Coat $178 (Crown; also Corduroy Knit Chore Coat $178), high = Artisan Crafted Cashmere Chore Coat $1295 (Crown Crafted); note these chore coats are knit sweater-jackets (Oasis also appears in the sweaters list); excluded Limited Edition 25th Anniversary Cashmere Suffolk Jacket $1998, shirt jackets and blazers; dearest outerwear overall Italian Double-Faced Cashmere Coat $2995. Shoes: own-label loafers low = Excursionist Penny Loafer / Excursionist Venetian Loafers $275, high = Oxford Tassel Loafer $395 (Madison penny/bit loafers $350); Kiely Driving Moccasin $250 and Suffolk drivers ($295 to $350) not counted as loafers."
Ted Baker,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,175,450,325,875,190,190,-,SKIP,https://www.tedbaker.com,USD,complete,https://www.tedbaker.com/products.json?limit=250&page=1..6 | https://www.tedbaker.com/products/parliament-dk-brown,"US Shopify store (Shopify.currency USD rate 1.0, country US), feed 1302 products; vendor field is the licensee (Authentic, Licensee Aldo for shoes, Licensee PVH etc.) - all products are Ted Baker branded, so treated as own label; men's filtered by Menswear tag; titles are style codes, descriptions used for neckline/fibre. Storefront PARLIAMENT shows $190.00 matching feed. Sweater: low = LOUNG crew-neck wool-blend jumper $175 (full price), high = GLANT pure cashmere cable crew-neck jumper $450 (compare-at; currently marked down). Outerwear: utility jacket is the cheapest style also offered in suede: low = TRENNT utility jacket (cotton-rich linen twill) $325, high = WYNELL workwear/utility jacket in suede $875; next pair would be bomber (JENESIS cotton-nylon $345 vs LEEAMS leather $795 / PEVERIL suede $595); WALDEN coach jacket $235 and Harringtons from $295 have no suede/leather version; knit cardigan-jackets, overshirts, gilet-hybrid DURANO excluded; dearest men's outerwear is WALD sheepskin shearling aviator $2500. Shoes: only one men's loafer, PARLIAMENT grained leather penny loafer $190, so low = high; other men's shoes are BRENTFORD trainer $150, HACKNEY/OGILVIE lace-ups $190-$195, BLACKBURN boot $270."
Scotch & Soda,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,98,238,248,668,108,108,-,SKIP,https://www.scotchandsoda.com,USD,complete,https://www.scotchandsoda.com/products.json?limit=250&page=1..17 | https://www.scotchandsoda.com/products/izomi-m-11a-loafers-78-3105-01-a00_a00-black,"range sweater | US Shopify store (USD rate 1.0), feed 4061 products incl. many sold-out older seasons; vendor field is licensees (United Legwear apparel, Bos Group footwear, Mamiye kids), all Scotch & Soda branded; men's filtered by gender:men tag; storefront Izomi Loafers shows $108.00 struck / $54.00, matching feed compare_at 108. range sweater: no cashmere/elevated-fibre crewneck (best are 50% merino-cotton or alpaca-blend acrylic mixes), so category range used: low = Core - Viscose Pullover Crewneck $98 (full price, in stock), high = Argyles jacquard dropped shoulder pullover $238 (compare-at, in stock, marked down); highest men's sweater in feed. Outerwear: blouson is the cheapest style also sold in leather: low = Tailored Checked Blouson $248 (in stock, full price; an older Cotton linen zip-thru twill blouson $228 is sold out), high = Leather Blouson Jacket $668 (compare-at; sold out but still published); alternatives: varsity (cloth $318 to $478, sold out) vs Jacquard Leather Varsity Jacket $498; dearest men's outerwear Hooded Flight Leather Jacket $898; overshirts/shackets excluded. Shoes: only own-label men's loafer is Izomi Loafers $108 (several colourways, all $108 compare-at, currently $54), so low = high."
NN07,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,210,410,420,1900,NONE,NONE,Shoes,SKIP,https://www.nn07.com/en/us/,USD,complete,https://www.nn07.com/en/us/knitwear (pages 1-3) | https://www.nn07.com/en/us/jackets | https://www.nn07.com/en/us/accessories/shoes,"US storefront lists prices in USD on category pages (read via page text/HTML; 100 of 101 knitwear tiles captured, 38 of 38 jackets). Sweater: low Danny Lightweight sweater 210 (polyester-blend crewneck; Kevin Ribbed organic cotton sweater also 210); high Noah Crew Neck sweater 410 (wool and alpaca blend, Italian yarn), the dearest crewneck in an elevated fibre; Hope Rib knitted sweater 280 is cotton/cashmere; Albert 510 is a v-neck (excluded). Outerwear: Petrus is the cheapest style also sold in leather: low Petrus Satin jacket 420, high Petrus Lamb Leather jacket 1900 (Petrus Rigid organic cotton denim jacket 455). Owen Premium suede two-way zipper jacket 1495 and Freddy goat suede overshirt 1090 not used. Shoes: all 7 footwear items are collaborations (NN.07 x Fracap M121/M120/M127, NN.07 + Sebago Docksides) = NONE for own-label. No markdown prices shown on these pages. Root nn07.com shows a location picker; used /en/us/."
Samsøe Samsøe,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,https://www.samsoe.com/en-US/search?q=,https://www.samsoe.com/en-US,NC,complete,https://www.samsoe.com/ | https://www.samsoe.com/en-US/search?q=jeans,"Search-URL-only row. Root domain defaults to /en-DK (DKK) by geolocation; /en-US storefront shows USD. Tested https://www.samsoe.com/en-US/search?q=jeans: returns results (Shelly Jeans 230.00 USD, Saharpo Jeans, Saeddie Jeans etc.), so the word jeans passed. A newsletter popup appears on first load (closed, nothing submitted). not_a_staple and currency_basis left NC per spec."
Les Deux,49,99,129,189,139,189,159,219,139,189,149,279,299,829,289,289,-,https://lesdeux.us/search?q=,https://lesdeux.us,USD,complete,https://shop.lesdeux.us/products.json | https://lesdeux.us/collections/clothing-knitwear | https://lesdeux.us/products/pinstripe-knitted-polo-black | https://lesdeux.us/products/striped-melange-knitted-polo-mountain-grey-melange | https://lesdeux.us/products/gradient-knitted-polo-spiced-plum-purple | https://lesdeux.us/products/flower-jacquard-shirt-black | https://lesdeux.us/search?q=jeans,"lesdeux.us is a headless Hydrogen store; used the Shopify online-store feed at shop.lesdeux.us/products.json (1480 products incl. kids/co-lab/archived) and kept only products whose lesdeux.us/products/<handle> page returns 200 (many feed items 404 on the live US site, e.g. Kalen AOE Shirt 229, Geraldo Handmade Shirt 299). Storefront check: Pinstripe Knitted Polo $189 on page = 189 in feed; Rib Crewneck Knit $149 on page = feed. No compare_at markdowns on chosen items. Tee (analogous rule): low Core T-Shirt 49; high Heavyweight T-shirt / Stamp T-Shirt / Knitted Check T-Shirt 99 (excluded basketball Mesh T-Shirt 119 and Check AOP Mesh T-Shirt 119 as sports-mesh/v-neck, and football jerseys, LS tees, Prince collab tees). Polo (analogous rule, short-sleeve knit polos only): low Signature Knit Polo / Knitted Stripe Polo 129; high Pinstripe Knitted Polo 189 (verified short sleeve on page); Striped Melange Knitted Polo 219 and Gradient Knitted Polo 219 are long-sleeve (verified), Prince polos excluded as collab. Dress shirt: low Cotton-Linen Shirt / Core Oxford Shirt 139; high Flower Jacquard Shirt 189 (long-sleeve camp-collar button-front woven; next is Oxford Patchwork Shirt 179). Jeans (analogous rule): low Ryder Washed Denim Jeans Medium Indigo 159; high Roi Bleached Denim Jeans / Roi Coloured Washed Denim Jeans / Roi Stamp Jacquard Jeans 219 (Ryder Jeans Black/Ivory 159 are twill pants, excluded). Dress pants (analogous rule): low Como Suit Pants / Como Reg Suit Pants 139; high Wool Reg Suit Pants / Herringbone Tailored Pants 189. Sweater: low Rib Crewneck Knit 149 (100% cotton; Light Gradient Knit also 149); no cashmere crewneck exists, so high = dearest wool crewneck Check Knit 279 (100% wool, tagged Crewneck knit). Outerwear: cheapest style also sold in leather is the varsity: low Varsity Tech Jacket 299, high Leather Varsity Jacket 829 (100% leather); wool Varsity Jacket is 689. Shoes: own loafers Grain Leather Loafer 289 and Croco Mix Loafer 289, so low = high = 289. Search URL passed with jeans (20 products). Hydrogen root loader reports currency EUR but all displayed prices are $ on the United States storefront."
Norse Projects,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,270,395,338,1600,NONE,NONE,Shoes,SKIP,https://www.norseprojects.com,USD,complete,https://www.norseprojects.com/products.json | https://www.norseprojects.com/products/nordrevik-baby-alpaca-sweater-walnut,"range outerwear | Shopify feed, 489 products, Shopify.currency active USD (country US); storefront check Nordrevik Baby Alpaca Sweater Walnut shows $360.00 USD = feed 360. No compare_at markdowns on chosen items. Sweater: low Norse Standard Merino Lambswool Sweater 270 and Henning Cotton Wool Rib Sweater 270 (crewneck); no cashmere crewneck, so high = Nordrevik Baby Alpaca Sweater 395 (super fine alpaca blend raglan crew with v-notch; some colours 360); Hirtshals Tech Merino Waffle Crewneck also 395; Nordhavn Aran Crewneck Sweater 465 is wool/cotton cable, not elevated fibre. range outerwear: no jacket sold in suede/shearling/cashmere/leather, so plain range of Light Jackets excl. overshirts and blazers: low Vrigsted Wide Wale Corduroy Chore Jacket 338 (some colours 395; if chore jackets count as shirt-jackets the next is Storadal Heavy Twill Type II Jacket 395), high Reilstad Donegal Wool Balmacaan Raglan Coat 1600; autumn heavy outerwear may not be fully released yet. Shoes: only three styles (NP Ravn 575, NP Thiers Rocade 600, NP Fasan 600) and all are Paraboot for Norse Projects collaborations, so no own-label shoes = NONE."
Vollebak,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,395,395,3295,4295,NONE,NONE,Shoes,SKIP,https://vollebak.com/en-us,USD,complete,https://vollebak.com/products.json | https://vollebak.com/en-us/products.json | https://vollebak.com/en-us/products/sub-zero-sweater-grey-marl-edition | https://vollebak.com/en-us/products/planet-earth-sweater-grey-edition | https://vollebak.com/en-us/products/garbage-sweater | https://vollebak.com/en-us/products/antarctic-sweater-navy-edition,"Shopify feed, 214 products, Shopify.currency active USD (base GBP, rate 1.336); storefront check Sub Zero Sweater shows $795 = feed, Planet Earth Sweater shows $158 sale from $395 = feed compare_at. Sweater: the only crewneck is Planet Earth Sweater (seamless cashmere and superfine merino), full price 395 (currently marked down to 158), so low = high = 395; entry is already the premium fibre. Excluded: Sub Zero Sweater 795 (mock neck, verified), Garbage Sweater 595 (snap mock neck), Antarctic Sweater 495 (high roll neck), cardigans and knitted polo. Outerwear: the only jacket style also sold in an elevated material is the Shielding Jacket: low Shielding Jacket 3295, high Leather Shielding Jacket 4295 (no markdown on either); many cheaper jackets exist (e.g. Race to Zero Puffer 495 full price) but none has a leather/suede/shearling/cashmere version. Mycelium Jacket 65995 and Eiderdown pre-order puffers ignored. Shoes: brand sells no footwear (no shoe/sneaker/boot/loafer items in feed) = NONE."
Stone Island,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,420,1425,900,6250,565,600,-,SKIP,https://www.stoneisland.com/en-us/,USD,complete,https://www.stoneisland.com/en-us/collection/knitwear (pages 1-5) | https://www.stoneisland.com/en-us/collection/coats-and-jackets (pages 1-7) | https://www.stoneisland.com/en-us/collection/shoes,"range shoes | Read US category pages (USD, no sale prices shown). Knitwear: 88 of 89 tiles read. Sweater low 5100062 Light Raw Hand Organic Cotton regular-fit crewneck 420; high 5100036 Cashmere S.I. Ghost regular-fit crewneck with raglan sleeves 1425 (100% cashmere). Ghost is a Stone Island sub-collection; if Ghost is not main-line, the dearest non-Ghost elevated crewneck is 5100050 Baby Alpaca Blend loose-fit crewneck 800. Outerwear: 117 of 118 tiles read (59 styles); the only style sold in an elevated material is the coach jacket: low 4100006 Indigo Denim-Rinsed coach jacket 900 (Q100022 Crinkle Reps padded coach 990, Q100008 Warp Rib Nylon coach 995), high 0100004 Bonded Rubberised Leather S.I. Ghost coach jacket 6250 (also Ghost line). range shoes: no loafer; own-label sneakers S100010 Poly Mesh low-top 565 and S100020 Canvas Suede low-top 600; Stone Island x New Balance sneakers (250) and soccer boots excluded as collaborations; shoe page lists 8 products, 6 tiles read plus 2 soccer-boot links."
A Bathing Ape,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,https://us.bape.com/search?q=,https://us.bape.com,NC,complete,https://us.bape.com/search?q=jeans,"Search-URL-only row. Tested https://us.bape.com/search?q=jeans: returns results (e.g. Shark Relaxed Fit Denim Pants, STA Regular Fit 13 oz Denim Pants, Color Stone 13 oz Denim Pants), so the word jeans passed. not_a_staple and currency_basis left NC per spec for search-only rows."
