brand,band,site_domain,platform,search_url_on_file,read_in_full_before,current_prices,range_slots,garment_links_on_file
Dolce&Gabbana,trueLux,dolcegabbana.com,salesforce_commerce,https://www.dolcegabbana.com/en-us/search/?q=,no,"[[545, 1795], [995, 2045], [725, 2795], [804, 1395], [865, 1449], [995, 7045], [1995, 2845], [845, 1145]]",,8
Fendi,trueLux,fendi.com,custom,https://www.fendi.com/us-en/search?q=,no,"[[630, 1170], [790, 930], [810, 2500], [1050, 1815], [864, 900], [1300, 2500], [3250, 17350], [770, 1150]]",,8
Valentino,trueLux,valentino.com,custom,,no,"[[590, 790], [750, 1750], [950, 1750], [1150, 1550], [1100, 1350], [890, 2290], [2550, 4990], [790, 1190]]",,8
Saint Laurent,trueLux,ysl.com,custom,https://www.ysl.com/en-us/search?q=,no,"[[550, 620], [590, 1600], [1090, 2300], [550, 1180], [1250, 2250], ""?"", ""?"", ""?""]",,0
Celine,trueLux,celine.com,custom,https://www.celine.com/en-us/search?q=,no,"[[570, 700], null, [830, 1800], [990, 1550], [990, 1150], [1050, 1950], [1500, 8700], [950, 1300]]",,0
Givenchy,trueLux,www.givenchy.com,salesforce_commerce,https://www.givenchy.com/us/en-US/search?q=,no,"[[650, 1250], [620, 1950], [820, 1700], [1050, 2000], [1050, 1300], [1100, 1700], [1650, 4900], [790, 1020]]",,8
Gucci,trueLux,www.gucci.com,custom,https://www.gucci.com/us/en/search?searchString=,no,"[[590, 800], [564, 950], [880, 1350], [1047, 1840], [1350, 1800], ""?"", ""?"", ""?""]",,0
Balenciaga,trueLux,www.balenciaga.com,salesforce_commerce,https://www.balenciaga.com/en-us/search?q=,no,"[[595, 1390], [795, 850], [700, 1200], [975, 2390], [1490, 1650], ""?"", ""?"", ""?""]",,0
McQueen,trueLux,www.alexandermcqueen.com,custom,https://www.alexandermcqueen.com/en-us/search?q=,no,"[[320, 740], [650, 1590], [650, 920], [650, 1160], [783, 1350], [1290, 1290], [1850, 6590], [990, 990]]",Sweater,8
Maison Margiela,trueLux,www.maisonmargiela.com,salesforce_commerce,https://www.maisonmargiela.com/en-us/search?q=,no,"[[520, 895], [780, 1255], [990, 1430], [1090, 1660], [1280, 1790], [560, 1730], [695, 6590], [1450, 2050]]",Sweater,7
Rick Owens,trueLux,www.rickowens.eu,shopify,,no,"[[335, 915], null, [855, 1430], [900, 1485], [735, 1575], [560, 1905, ""USD_landed""], [1875, 3225, ""USD_landed""], ""?""]",Shoes,6
Yohji Yamamoto,trueLux,theshopyohjiyamamoto.com,shopify,https://theshopyohjiyamamoto.com/search?q=,no,"[[380, 500], null, [500, 850], [600, 1000], [286, 364], [520, 1080], [1790, 5190, ""USD_landed""], ""?""]",Sweater,6
Comme des Garçons,trueLux,www.comme-des-garcons.com,custom,,no,"[[270, 440], [350, 600], [440, 920], [600, 900], [680, 1460], ""?"", ""?"", ""?""]",,0
Junya Watanabe,trueLux,www.comme-des-garcons.com/junyawatanabeman.html,custom,,no,"[[310, 422], [394, 740], [937, 1134], [1030, 1273], [713, 937], ""?"", ""?"", ""?""]",,0
Sacai,trueLux,www.sacai.jp,shopify,https://www.sacai.jp/search?q=,no,"[[350, 410], [300, 756], [570, 1378], [610, 945], [640, 890], [620, 620], [945, 3675], [1000, 1000]]",Sweater,8
Casablanca,trueLux,casablancaparis.com,shopify,https://casablancaparis.com/search?q=,no,"[[265, 795], [550, 725], [545, 1067], [780, 1055], [1000, 1140], null, [970, 2435], [515, 545]]",,7
Jacquemus,trueLux,www.jacquemus.com,salesforce_commerce,https://www.jacquemus.com/search?q=,no,"[[212, 300], [430, 740], [711, 1332], [494, 580], [495, 882], [590, 850], [900, 5300], [590, 950]]",,8
Prada,trueLux,www.prada.com,custom,,no,"[[825, 1590], [1070, 1920], [1070, 2700], [1700, 1900], [1350, 2150], [1250, 4400], [2300, 7900], [1020, 1320]]",,8
Loewe,trueLux,www.loewe.com,salesforce_commerce,https://www.loewe.com/usa/en/search?q=,no,"[[550, 750], [650, 650], [950, 2200], [1150, 1250], [990, 1990], [990, 1650], [1950, 5990], [950, 1200]]",,8
JW Anderson,trueLux,www.jwanderson.com,shopify,https://www.jwanderson.com/search?q=,no,"[[170, 230], [275, 870], [480, 595], [595, 715], [440, 760], [715, 1270], [910, 5610], [590, 910]]",Sweater,8
Dior,trueLux,www.dior.com,custom,https://www.dior.com/en_us/fashion/search/,no,"[[610, 1600], [1700, 2050], [770, 2100], [1150, 1800], [650, 1300], [1500, 5400], [2300, 7000], [870, 1500]]",,8
Amiri,trueLux,amiri.com,shopify,https://www.amiri.com/search?q=,no,"[[225, 790], [315, 890], [590, 1290], [750, 1390], [790, 790], [950, 1150], [1090, 2490], [750, 890]]",Outerwear,8
Rhude,trueLux,rh-ude.com,shopify,,no,"[[245, 295], [575, 735], [600, 755], [775, 909], [1019, 1019], null, [720, 4110], ""?""]",Outerwear;Shoes,6
Palm Angels,trueLux,www.palmangels.com,salesforce_commerce,https://www.palmangels.com/search?q=,no,"[[220, 390], [495, 600], [168, 595], [610, 610], [445, 745], [405, 610], [610, 1095], ""?""]",Sweater;Outerwear;Shoes,7
Golden Goose,trueLux,www.goldengoose.com,salesforce_commerce,,yes,"[[160, 320], [195, 790], [450, 950], [450, 530], [450, 790], [490, 1350], [490, 2550], [450, 2520]]",,8
Fear of God,trueLux,fearofgod.com,shopify,https://fearofgod.com/search?q=,no,"[[295, 695], [115, 165], [135, 875], [695, 695], [890, 1190], [175, 1050], [1150, 3850], ""?""]",Sweater;Shoes,7
Bode,trueLux,bode.com,shopify,https://www.bodenewyork.com/search?q=,no,"[[180, 362], [550, 650], [490, 690], [650, 650], [728, 980], [600, 1600], [570, 5000], [690, 1080]]",Outerwear,8
Greg Lauren,trueLux,greglauren.com,shopify,https://greglauren.com/search?q=,no,"[[245, 450], null, [750, 1250], [840, 1650], [950, 1850], null, [1250, 3250], null]",,4
Visvim,trueLux,shop.visvim.com,custom,https://shop.visvim.com/search?keywords=,no,"[[396, 985], [639, 907], [955, 1967], [570, 1970], [760, 1792], [1280, 2670], [1372, 2230], [780, 1605]]",Outerwear;Shoes,7
Tom Ford,trueLux,www.tomfordfashion.com,salesforce_commerce,,no,"[[350, 3990], [450, 1720], [790, 2070], [990, 1264], [790, 3320], [1190, 3750], [1490, 10390], [1290, 2350]]",,8
Ralph Lauren Purple Label,trueLux,www.ralphlauren.com,salesforce_commerce,https://www.ralphlauren.com/search?q=,yes,"[[250, 350], [395, 1695], [395, 895], [795, 1495], [595, 895], [995, 2295], [2295, 8995], [395, 7500]]",,8
Zegna,trueLux,www.zegna.com,custom,https://www.zegna.com/us-en/search?q=,no,"[[495, 950], [495, 1690], [490, 795], [525, 875], [750, 1100], [1150, 3990], [3250, 9990], [1350, 1890]]",,8
Bottega Veneta,trueLux,www.bottegaveneta.com,salesforce_commerce,https://www.bottegaveneta.com/en-us/search?q=,no,"[[550, 950], [800, 1150], [1300, 1850], [900, 1250], [1100, 1600], ""?"", ""?"", ""?""]",,0
Berluti,trueLux,www.berluti.com,salesforce_commerce,https://www.berluti.com/en-us/search?q=,yes,"[[630, 1180], [660, 1610], [850, 1740], [1120, 2110], [1120, 1200], [1860, 2110], [2900, 11000], [1040, 11400]]",,7
Charvet,trueLux,charvet.com,custom,,no,"[null, [450, 850], [595, 895], null, [500, 800], ""?"", ""?"", ""?""]",,0
Husbands,trueLux,husbands-paris.com,shopify,https://www.husbands-paris.com/search?q=,no,"[[162, 185], [185, 255], [301, 787], [440, 440], [450, 650], [690, 690, ""USD_landed""], [2450, 3480, ""USD_landed""], [720, 930, ""USD_landed""]]",,7
Brioni,trueLux,www.brioni.com,custom,,no,"[[495, 1050], [645, 1295], [675, 1695], [720, 995], [695, 2050], [945, 2095], [1995, 10400], [995, 1750]]",,8
Isaia,trueLux,www.isaia.us,shopify,,no,"[[295, 375], [495, 1095], [695, 1525], [475, 730], [795, 1750], [1250, 2295], [3500, 5795], [1140, 1650]]",,8
The Row,trueLux,www.therow.com,shopify,https://www.therow.com/search?q=,no,"[[350, 1190], null, [1100, 1950], [850, 1050], [950, 2950], [1250, 2100], [2650, 14000], [990, 1990]]",,7
Lemaire,trueLux,www.lemaire.fr,shopify,https://www.lemaire.fr/search?q=,no,"[[255, 335], null, [451, 1099], [683, 683], [752, 1099], [690, 690], [1150, 3460], [890, 990]]",Sweater,7
Jil Sander,trueLux,www.jilsander.com,salesforce_commerce,https://www.jilsander.com/en-us/search?q=,no,"[[190, 550], [695, 1450], [850, 1990], [990, 1650], [1050, 1790], [990, 1850], [1290, 6990], [1490, 1490]]",Outerwear,8
Acne Studios,trueLux,www.acnestudios.com,salesforce_commerce,https://www.acnestudios.com/us/en/search?q=,no,"[[320, 620], null, [510, 900], [540, 1200], [540, 1150], [580, 1300, ""USD_landed""], [800, 5100, ""USD_landed""], [750, 850, ""USD_landed""]]",Outerwear,7
Dries Van Noten,trueLux,www.driesvannoten.com,shopify,,no,"[[250, 375], [695, 850], [490, 875], [495, 750], [700, 1195], [780, 975], [2270, 3550], [1060, 1180]]",Sweater,8
Wales Bonner,trueLux,walesbonner.com,shopify,https://walesbonner.com/search?q=,no,"[[220, 335], [400, 795], [620, 875], [600, 1295], [570, 900], [595, 595, ""GBP""], [750, 1500, ""GBP""], [485, 595, ""GBP""]]",Sweater,8
JiyongKim,trueLux,intl.jiyongkim.net,custom,https://intl.jiyongkim.net/product/search.html?keyword=,no,"[[100, 160], [190, 190], [240, 640], [615, 615], null, ""?"", [615, 1655], ""?""]",Jeans,5
Brunello Cucinelli,trueLux,shop.brunellocucinelli.com,salesforce_commerce,https://shop.brunellocucinelli.com/en-us/search?q=,no,"[[400, 690], [770, 2000], [650, 2950], [780, 1270], [730, 2700], [1300, 4600], [4600, 17900], [1200, 1600]]",,8
Fedeli,trueLux,www.fedelicashmere.com,shopify,https://www.fedelicashmere.com/en-usd/search?q=,yes,"[[200, 350], [250, 675], [300, 575], null, null, [420, 1752], [3005, 7843], ""?""]",,5
The Elder Statesman,trueLux,elder-statesman.com,shopify,https://www.elder-statesman.com/search?q=,no,"[[250, 450], [495, 1695], [600, 2113], null, [495, 895], [1050, 2490], [1290, 3990], null]",Outerwear,6
Hermès,trueLux,www.hermes.com,custom,https://www.hermes.com/us/en/search/?s=,no,"[[600, 1925], [740, 2375], [1400, 4750], null, [1150, 1850], [1200, 2825], [3850, 8800], [1100, 1925]]",,7
Loro Piana,trueLux,us.loropiana.com,custom,https://us.loropiana.com/en/search?q=,no,"[[725, 940], [635, 2450], [775, 2110], [865, 1145], [1150, 1750], [1125, 5250], [2770, 29000], [950, 2150]]",,8
Rubinacci,trueLux,www.marianorubinacci.com,custom,https://www.marianorubinacci.com/en/search-results?searchterm=,no,"[[150, 280], [180, 570], [280, 1940], null, [365, 710], [648, 648], [1896, 3120], [660, 696]]",,7
Kiton,trueLux,us.kiton.com,shopify,,no,"[[393, 1921], [613, 2048], [730, 1995], [902, 1921], [1295, 2935], [1080, 5170], [960, 15810], [1260, 2530]]",,8
Cesare Attolini,trueLux,www.cesareattolini.com,custom,,no,"[null, null, [900, 1250], null, [2150, 2200], ""?"", ""?"", ""?""]",,0
Zilli,trueLux,en.zilli.com,custom,https://en.zilli.com/search.php?search_query=,no,"[[451, 972], null, [729, 2065], [972, 1354], [763, 1267], [750, 1860, ""EUR""], [1470, 8500, ""EUR""], [870, 1380, ""EUR""]]",,7
Stefano Ricci,trueLux,www.stefanoricci.com,salesforce_commerce,https://www.stefanoricci.com/en-us/search?q=,no,"[[569, 875], [1226, 1839], [900, 1500], [1094, 1398], [1100, 3650], [1200, 3900], [2450, 12300], [1000, 2100]]",,8
Johnstons of Elgin,trueLux,johnstonsofelgin.com,shopify,https://johnstonsofelgin.com/en-us/search?q=,yes,"[[795, 795], [975, 1195], [1400, 3150], null, [2015, 2015], [725, 1795], [1970, 3835], null]",,5
