mark,brand_count,kind,owner,basis,brands
premium cotton,1,noise,,Generic quality descriptor,Zegna
pontoglio,1,mill_or_fibre_supplier,Pontoglio S.p.A.,"Italian velvet/corduroy mill; a supplier to Suitsupply, not a Suitsupply mark",Suitsupply
polygiene stayfresh,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Our Legacy
polartec power stretch,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",J.Lindeberg
polartec power grid,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Patagonia
polartec delta),1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Moncler
polartec alpha,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Moncler
plush melton,1,noise,,Melton is a generic wool cloth type; 'plush' is a descriptor,Theory
plus named treatments non-iron,1,noise,,"Harvest artefact: fragment of prose, not a mark",Boggi Milano
plus house/collab names justic,1,noise,,Harvest artefact: truncated sentence fragment,Our Legacy
plumafill,1,house_named_fabric,Patagonia,PlumaFill is Patagonia's own synthetic insulation,Patagonia
pitkin,1,noise,,"Mott & Bow fit/style name (NYC street names: Pitkin, Marcy, Hubert), not a fabric",Mott & Bow
perth,1,noise,,"Peter Millar garment/style name (Perth quarter-zip, Perth polo) applied across different fabrics",Peter Millar
pertex,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Our Legacy
performance jersey,1,noise,,Generic fabric descriptor,TravisMathew
performance cool,1,house_named_fabric,Levi's,"Levi's Performance Cool, one of Levi's own branded denim technologies",Levi's
pelle tessuta,1,house_named_fabric,Zegna,Zegna's trademarked woven-leather material,Zegna
pacific linen,1,house_named_fabric,Theory,Theory runs a 'Pacific Linen' fabric collection on its own site; house cloth name,Theory
ortholite[dual-layer ortholite],1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rag & Bone
original polo,1,noise,,"Brooks Brothers garment name, not a fabric mark",Brooks Brothers
opera piemontese,1,mill_or_fibre_supplier,Biella Manifatture Tessili S.r.l.,"'OP Opera Piemontese' is a registered trademark of Biella Manifatture Tessili, an Italian mill",Suitsupply
only two,1,noise,,Fragment of harvested prose,Dolce&Gabbana
on-the-go,1,noise,,Generic collection/marketing descriptor,Vineyard Vines
on the current men's catalogue (house,1,noise,,Harvest artefact: sentence fragment with stray bracket,Loro Piana
on no product slice,1,noise,,Harvest artefact,Dolce&Gabbana
on exactly 1 of 23 products,1,noise,,"Harvest artefact: coverage statistic, not a mark",Easy Mondays
olmetex performance fabric,1,mill_or_fibre_supplier,Olmetex S.p.A.,Olmetex is an Italian technical-fabric mill; Proper Cloth names it as the supplier,Proper Cloth
oleatex,1,mill_or_fibre_supplier,Oleatex,Third-party bio-based leather alternative made from olive by-products; sold to brands,Samsøe Samsøe
oil finish,1,noise,,Generic finish descriptor; Filson's coined mark in this family is Tin Cloth,Filson
oasi lino,1,house_named_fabric,Zegna,"Zegna Oasi Lino, house-trademarked linen programme",Zegna
oasi cashmere,1,house_named_fabric,Zegna,"Zegna Oasi Cashmere, house-trademarked cashmere programme",Zegna
nylon ultralight,1,house_named_fabric,Herno,Named fabric line on Herno's own fabric pages alongside Nylon Chamonix; descriptive-sounding but house-used,Herno
nylon metal,1,house_named_fabric,Stone Island,Signature named fabric in Stone Island's fabric index,Stone Island
nylon chamonix,1,house_named_fabric,Herno,Coined Herno fabric name (Chamonix nylon line),Herno
nulu,1,house_named_fabric,Lululemon,Nulu is a lululemon trademarked fabric,Lululemon
novapoly,1,house_named_fabric,HUGO BOSS,BOSS announced NovaPoly as its own recycled/degradable yarn (developed with Jiaren and NBC); BOSS owns the mark,BOSS
not pour homme),1,noise,,Harvest artefact: fragment with stray bracket,Yohji Yamamoto
not counted as cloth: cannage,1,noise,,"Harvest artefact: analyst note, not a harvested mark",Dior
not a technology),1,noise,,Harvest artefact,Diesel
non stretch,1,noise,,Generic descriptor,AGOLDE
no-stink zinc,1,house_named_fabric,Lululemon,lululemon's own name for its zinc-based anti-odour treatment,Lululemon
no shoppable pdp found),1,noise,,Harvest artefact: crawler note,Corneliani
no materials/technology page,1,noise,,Harvest artefact: crawler note,The Row
no licensed third-party marks,1,noise,,Harvest artefact: crawler note,Berluti
no garment technology,1,noise,,Harvest artefact: crawler note,Luca Faloni
no fabrics/technology page,1,noise,,Harvest artefact: crawler note,Lemaire
nishijin-ori,1,noise,,"Traditional Kyoto (Nishijin) weaving craft term, not any brand's mark",Visvim
nimbus,1,house_named_fabric,The Elder Statesman,"TES uses Nimbus as a material family (cashmere-cotton blend) across crews, pants and hoodies, with its own collection page",The Elder Statesman
neoteric twill,1,house_named_fabric,Theory,Neoteric is Theory's trademarked technical twill,Theory
naturally crease resistant,1,noise,,Generic property claim,Eton
natural stretch,1,noise,,Generic property claim,Eton
nativawool,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Gucci
nappa,1,noise,,"Generic leather type (nappa), not a proprietary mark",Bottega Veneta
named),1,noise,,Harvest artefact: fragment,Frame
named variants okinawa lot. 301,1,noise,,Harvest artefact: analyst phrase wrapping a Sugar Cane lot number,Sugar Cane
named in editorial),1,noise,,Harvest artefact: fragment,Son of a Tailor
moonsoft cotton,1,house_named_fabric,Theory,Moonsoft is a Theory-coined cloth name,Theory
moisture-wicking,1,noise,,Generic performance descriptor,Polo Ralph Lauren
micro reps,1,house_named_fabric,Stone Island,Entry in Stone Island's own fabric index; 'reps' is a generic weave term but SI carries it as a named fabric,Stone Island
megagrip,1,mill_or_fibre_supplier,Vibram,Vibram Megagrip is Vibram's rubber outsole compound; Zegna is a licensee (hardware/component supplier),Zegna
matchlessmerino,1,house_named_fabric,Redvanly,Redvanly-coined fabric name,Redvanly
marzotto,1,mill_or_fibre_supplier,Marzotto Group,Italian wool mill supplying Bonobos,Bonobos
marinegrade,1,house_named_fabric,Redvanly,Redvanly-coined fabric name,Redvanly
marcy,1,noise,,"Mott & Bow fit/style name, not a fabric",Mott & Bow
manteco mwool,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Samsøe Samsøe
manteco,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Club Monaco
mackinaw wool,1,noise,,Mackinaw is a generic heavy-wool cloth type predating Filson; Filson markets it heavily but did not coin it,Filson
lyocell/tencel,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Brunello Cucinelli
lyocell,1,noise,,Generic fibre class; the branded form is TENCEL (Lenzing),Officine Générale
lycra. appellation,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Brooks Brothers
"lycra. also ""technical fabric"" 1",1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Citizens of Humanity
lycra - licensed,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Easy Mondays
lycra (4 men's,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rick Owens
luxwool,1,house_named_fabric,Redvanly,Redvanly-coined fabric name,Redvanly
luxury cotton twill,1,noise,,Generic fabric descriptor,Citizens of Humanity
luxthermal,1,house_named_fabric,Redvanly,Redvanly-coined fabric name,Redvanly
luxe jersey,1,house_named_fabric,Marine Layer,"Marine Layer's own fabric name, used as a material family across styles",Marine Layer
luster,1,noise,,Generic descriptor of fabric sheen,Eton
luon,1,house_named_fabric,Lululemon,Luon is a lululemon trademarked fabric,Lululemon
loro piana],1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Jack Victor
loro piana storm system- licensed,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rubinacci
loro piana green storm system membrane,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Paul Smith
loro piana doeskin wool,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Wales Bonner
loro piana [licensed],1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Jack Victor
loro piana (mill credit,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Eleventy
loro piana 'storm system',1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Paul Smith
lonfresh,1,unclear,,"Appears on visvim socks/knits and reads like a Japanese anti-odour yarn or finish trademark, but no source found confirming whether it is visvim's or a supplier's",Visvim
london workroom are not fabric names,1,noise,,Harvest artefact: analyst note,Margaret Howell
livaeco,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Faherty
litebase,1,mill_or_fibre_supplier,Vibram,Vibram Litebase is Vibram's lightweight sole technology; Zegna carries it under licence,Zegna
linxter,1,house_named_fabric,johnnie-O,johnnie-O-coined fabric name,johnnie-O
lightwarm,1,house_named_fabric,Redvanly,Redvanly-coined fabric name,Redvanly
light bilen,1,house_named_fabric,Theory,Theory runs a 'World of Bilen' fabric franchise; Light Bilen is its lightweight version,Theory
liberty/ tana lawn,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Hartford
liberty fabric,1,mill_or_fibre_supplier,Liberty Fabrics,Liberty of London printed cloth bought in by Bonobos,Bonobos
libeco,1,mill_or_fibre_supplier,Libeco-Lagae,Belgian linen mill supplying Suitsupply,Suitsupply
levi's vintage stretch,1,house_named_fabric,Levi's,Levi's-branded denim stretch technology,Levi's
levi's stellar stretch,1,house_named_fabric,Levi's,Levi's-branded denim stretch technology,Levi's
levi's sculpt,1,house_named_fabric,Levi's,Levi's-branded shaping denim construction,Levi's
levi's flex eco performance,1,house_named_fabric,Levi's,Levi's-branded denim technology (eco variant of Levi's Flex),Levi's
levi's flex,1,house_named_fabric,Levi's,Levi's-branded stretch denim technology,Levi's
levi's ease,1,house_named_fabric,Levi's,Levi's-branded comfort denim technology,Levi's
legend[house],1,house_named_fabric,Faherty,Faherty's Legend sweater-shirt fabric; the '[house]' suffix is a harvest artefact,Faherty
lanificio ermenegildo zegna,1,mill_or_fibre_supplier,Lanificio Ermenegildo Zegna,"Zegna's Biella wool mill, a third-party supplier in Suitsupply's context",Suitsupply
lampo,1,mill_or_fibre_supplier,Lampo (Gruppo Ditta Giovanni Lanfranchi),Italian zipper manufacturer; hardware supplier,Our Legacy
laminar),1,house_named_fabric,Herno,Herno Laminar is Herno's own technical line name (built on GORE-TEX); bracket is a harvest artefact,Herno
kurume kasuri,1,noise,,"Regional Japanese ikat cloth (Kurume, Fukuoka); traditional textile type, not a brand mark",Visvim
kinetic soft,1,house_named_fabric,Joe's Jeans,Variant of Joe's own Kinetic denim technology,Joe's Jeans
kinetic,1,house_named_fabric,Joe's Jeans,Joe's-coined stretch-denim technology name,Joe's Jeans
kelso nylon,1,house_named_fabric,Theory,Theory-coined fabric name in its nylon family,Theory
katazurizome,1,noise,,"Traditional Japanese stencil/paste resist-dye technique, not a proprietary mark",Visvim
kasezome,1,noise,,"Traditional Japanese dye technique, not a proprietary mark",Visvim
joggjeans,1,house_named_fabric,Diesel,"Diesel Jogg Jeans, Diesel's trademarked denim-jersey construction",Diesel
japanese octa,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Our Legacy
jacket with foldable hood,1,noise,,Garment description,Hermès
it is named in the,1,noise,,Harvest artefact: sentence fragment,Loewe
ionic+,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Mack Weldon
intreccio,1,house_named_fabric,Bottega Veneta,Bottega Veneta's name for its woven-leather craft (Intrecciato is the registered form),Bottega Veneta
intrecciato,1,house_named_fabric,Bottega Veneta,Bottega Veneta's trademarked woven-leather construction,Bottega Veneta
internal membrane,1,noise,,Generic construction descriptor,Peserico
in the plp material field,1,noise,,Harvest artefact: crawler note,Loro Piana
in marketing copy),1,noise,,Harvest artefact: fragment,Son of a Tailor
in love insole,1,house_named_fabric,Rothy's,Rothy's markets its 'In Love' insole as a named component with its own site page,Rothy's
in 72 of 214 product descriptions,1,noise,,Harvest artefact: coverage statistic,Raffi
impeccabile,1,house_named_fabric,Canali,"Canali Impeccabile, its trademarked performance wool",Canali
hyperlight,1,house_named_fabric,Peter Millar,Peter Millar's own name for its lightweight performance fabric family,Peter Millar
hybridge,1,house_named_fabric,Canada Goose,"Canada Goose HyBridge, its own insulated construction",Canada Goose
hubert,1,noise,,Mott & Bow fit/style name,Mott & Bow
high performance,1,house_named_fabric,Zegna,"Reads generic but is a Zegna cloth name (High Performance wool, alongside Trofeo and Traveller)",Zegna
hi-flex,1,house_named_fabric,Brax,Brax's own stretch-denim technology name,Brax
heirloom denim,1,house_named_fabric,Joe's Jeans,Joe's site has a 'shop by fabric: Heirloom' category; house cloth name,Joe's Jeans
heiq pure,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Patagonia
heater series,1,noise,,"TravisMathew product/series name (Heater polo, Heater Series jersey polo); the fabric is just jersey",TravisMathew
hawaii lot. 401,1,house_named_fabric,Sugar Cane (Toyo Enterprise),Sugar Cane's own lot designation for its Hawaiian sugar-cane-fibre denim,Sugar Cane
harbor shirt,1,noise,,Vineyard Vines garment name,Vineyard Vines
hadron,1,noise,,"Arc'teryx jacket model name, not a fabric",Arc'teryx
h2no,1,house_named_fabric,Patagonia,"Patagonia H2No, its own waterproof performance standard/construction",Patagonia
graphene,1,noise,,"Generic material, not a brand mark",Prada
gots,1,mill_or_fibre_supplier,Global Standard gGmbH,"certification: Global Organic Textile Standard, a third-party certification body",Hartford
gore-tex windstopper,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Norse Projects
gore-tex [licensed],1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Margaret Howell
gore-tex (pro,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Arc'teryx
gore-tex (2l/3l,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Herno
goodyear welt,1,noise,,"Generic shoemaking construction term, now industry-generic",Visvim
goodyear 2 products,1,noise,,Harvest artefact: mark glued to a product count,Zilli
good linen,1,house_named_fabric,Theory,"Part of Theory's 'Good' cloth franchise (Good Wool, Good Linen, Good Cotton)",Theory
good earth cotton,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rodd & Gunn
goldfusion,1,house_named_fabric,Rhone,"Rhone GoldFusion, its trademarked gold-infused anti-odour fibre technology",Rhone
golden fleece,1,house_named_fabric,Brooks Brothers,"Brooks Brothers' own emblem and top-tier line mark; a house mark, though a line/emblem rather than strictly a cloth",Brooks Brothers
giza organic cotton,1,noise,,"Giza is an Egyptian cotton varietal/origin designation, not a company's mark",Fedeli
garment wash,1,noise,,Generic finishing descriptor,Eton
gara-bou,1,noise,,"Gara-bo spun-yarn cloth, a generic Japanese textile term for fabric woven from old Toyoda-spun yarn",Visvim
fullrange,1,house_named_fabric,Patagonia,Patagonia FullRange is its own synthetic insulation,Patagonia
full swing,1,house_named_fabric,Carhartt,"Carhartt Full Swing, its trademarked articulated construction",Carhartt
fresco,1,mill_or_fibre_supplier,J. & J. Minnis / Hardy Minnis (Huddersfield Fine Worsteds),Fresco is a registered Minnis high-twist cloth; Drake's buys it in,Drake's
framis,1,mill_or_fibre_supplier,Framis Italia,Bonding/seam-tape supplier whose name is used for the taped-seam technique,Our Legacy
fortius,1,house_named_fabric,Arc'teryx,"Arc'teryx's own softshell fabric family (Fortius 1.0, 2.0)",Arc'teryx
flyweight,1,house_named_fabric,AGOLDE,"AGOLDE launched Flyweight as its named lightweight denim, with its own collection page",AGOLDE
flex-knit,1,house_named_fabric,Rhone,Rhone's own fabric name; descriptive but carried as a house mark,Rhone
flex terry,1,house_named_fabric,Marine Layer,Marine Layer's own named fabric,Marine Layer
flawless,1,house_named_fabric,Joe's Jeans,Joe's-coined denim fabric/technology name,Joe's Jeans
filo di corallo,1,house_named_fabric,Isaia,Isaia sells 'Filo Di Corallo' wool knitwear on isaia.it; coral-themed house cloth name,Isaia
fibretrace,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rodd & Gunn
fermo fossati,1,mill_or_fibre_supplier,Fermo Fossati,Italian silk weaver (Como); supplier to Suitsupply,Suitsupply
ferla,1,mill_or_fibre_supplier,Lanificio Egidio Ferla,Italian mill; Suitsupply's own journal profiles it as one of its mills,Suitsupply
fender stratocaster / classicgear,1,noise,,"Harvest artefact: two strings merged; a licensed collab/product reference, not a textile mark",Kith
extreme-tex,1,house_named_fabric,Prada,"Prada (Linea Rossa) Extreme-Tex, its own technical fabric name",Prada
excursionist,1,house_named_fabric,Peter Millar,"Peter Millar's Excursionist Flex fabric family, a house-coined cloth name",Peter Millar
exactly one: cordura,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Loewe
everlux,1,house_named_fabric,Lululemon,lululemon's own performance fabric name used across its trainer/ABC line,Lululemon
everdreamy footbed,1,house_named_fabric,Rothy's,coined footbed name appearing only on Rothy's own product pages,Rothy's
epe),1,noise,,truncated fragment with stray bracket left by the harvester,Arc'teryx
enduratech,1,house_named_fabric,Cuts Clothing,ENDURATECH is a Cuts Clothing trademark application (USPTO 98133002) and its own fabric landing page,Cuts Clothing
elementproof,1,house_named_fabric,Redvanly,Redvanly's coined weather-resistant fabric name; sits in its Comfort/Active family,Redvanly
egyptian cotton,1,noise,,generic fibre-origin descriptor used industry-wide,Charles Tyrwhitt
edgartown,1,noise,,Vineyard Vines style name taken from a Martha's Vineyard town; a garment name not a fabric,Vineyard Vines
ecoverde,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rodd & Gunn
econyl(2 men's,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rick Owens
ecolife,1,unclear,,no source ties this to Our Legacy or to a named supplier yarn; could be either a house eco line or a mill label,Our Legacy
ecodown,1,mill_or_fibre_supplier,Thermore,Ecodown is Thermore's branded recycled-fibre insulation sold to brands as an ingredient,Brooks Brothers
eco ease,1,house_named_fabric,Levi's,member of Levi's own named fabric-technology family on its PDPs,Levi's
eccoleather,1,mill_or_fibre_supplier,ECCO Leather,ECCO Leather is a tannery supplying hides to third-party brands,Wales Bonner
earth conscious. licensed: lycra,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Joe's Jeans
e.thomas,1,mill_or_fibre_supplier,E.Thomas,Italian (Biella) wool mill credited by Suitsupply,Suitsupply
dualfx,1,mill_or_fibre_supplier,The LYCRA Company,LYCRA dualFX is an Invista/LYCRA stretch-yarn technology licensed to jeans brands,Joe's Jeans
dry-waxed poplin),1,noise,,descriptive fabric phrase plus stray bracket; not a coined mark,Sid Mashburn
dry finish,1,house_named_fabric,Filson,Filson's named alternative to its waxed Tin Cloth finish; semi-descriptive but used as a house finish name,Filson
dritan,1,mill_or_fibre_supplier,ECCO Leather,DriTan is ECCO Leather's trademarked waterless tanning process supplied to other brands,Faherty
driggs,1,noise,,Mott & Bow names fits after Brooklyn/NYC streets; a fit name not a fabric,Mott & Bow
dreamstate,1,house_named_fabric,Rhone,Rhone house fabric name in its Dream family,Rhone
dreamknit,1,house_named_fabric,Vuori,Vuori's signature proprietary knit,Vuori
dreamglow,1,house_named_fabric,Rhone,DreamGlow is registered and described by Rhone as its exclusive fabric,Rhone
dreamcloth,1,house_named_fabric,Vineyard Vines,Vineyard Vines' own brushed fabric name,Vineyard Vines
dream[house],1,house_named_fabric,Jack Victor,harvester appended the [house] annotation; Jack Victor's own fabric name,Jack Victor
drago,1,mill_or_fibre_supplier,Lanificio Drago,Biella wool mill credited on the garment,Boggi Milano
down composite mapping,1,house_named_fabric,Arc'teryx,Arc'teryx's name for its zoned down/synthetic construction,Arc'teryx
doro-zome,1,noise,,dorozome is the traditional Japanese mud-dyeing process; a technique term not a proprietary mark,Visvim
dormeuil,1,mill_or_fibre_supplier,Dormeuil,French cloth merchant/mill,Billy Reid
dior oblique jacquard,1,house_named_fabric,Dior,Dior's own house jacquard pattern/fabric,Dior
dior gravity,1,house_named_fabric,Dior,Dior's coined leather/material name,Dior
diesel(housemark,1,noise,,harvest artefact: brand name glued to the annotation '(housemark',Diesel
di sondrio,1,mill_or_fibre_supplier,Tessuti di Sondrio,Italian mill; Suitsupply runs a 'Di Sondrio Mill' journal page about it,Suitsupply
denit,1,house_named_fabric,Hiroshi Kato,DENIT (denim x knit) is Kato's registered fabric name with its own collection page,Hiroshi Kato
denim super stretch,1,noise,,generic stretch-level descriptor on a denim PDP,Joe's Jeans
denim rigid,1,noise,,generic denim descriptor,Joe's Jeans
denim comfort stretch,1,noise,,generic stretch-level descriptor,Joe's Jeans
david-tc,1,house_named_fabric,Stone Island,Stone Island's in-house fabric naming system (David-TC),Stone Island
crown sport,1,noise,,Peter Millar sub-line/collection name for garments rather than a named fabric,Peter Millar
crown crafted,1,noise,,Peter Millar premium sub-line label not a fabric,Peter Millar
crown comfort,1,noise,,Peter Millar garment line (shorts/pants/layers) not a named fabric,Peter Millar
crown,1,noise,,bare single word harvested from Visvim; no fabric referent,Visvim
crinkle reps,1,house_named_fabric,Stone Island,Stone Island's own fabric name (Crinkle Reps NY),Stone Island
creora,1,mill_or_fibre_supplier,Hyosung,Creora is Hyosung's spandex fibre brand,Faherty
cover cloth,1,noise,,traditional generic cloth type (tightly woven cotton/worsted) used across the trade,Filson
cottoncash,1,house_named_fabric,Isaia,Isaia's coined cotton-cashmere name used in its own product titles on isaia.it,Isaia
cotton re:spun,1,house_named_fabric,Son of a Tailor,Son of a Tailor's own recycled-cotton programme with a dedicated product line,Son of a Tailor
cotton made in africa,1,mill_or_fibre_supplier,Aid by Trade Foundation,certification: CmiA is a third-party cotton standard,Brax
cosmos slub cotton,1,house_named_fabric,Theory,Theory names its fabrics (Cosmos) and uses them as PDP fabric marks,Theory
corrosion treatment,1,house_named_fabric,Stone Island,Stone Island's named garment-dye/finish treatment,Stone Island
coreloft,1,house_named_fabric,Arc'teryx,Arc'teryx's proprietary synthetic insulation,Arc'teryx
core temp,1,house_named_fabric,Banana Republic,Banana Republic's own thermoregulating fabric tech name,Banana Republic
corbet. tencel/lyocell,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Marine Layer
coolmax / ecomade coolmax,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Tecovas
cooling,1,noise,,generic performance descriptor,Eton
cone denim / white oak,1,mill_or_fibre_supplier,Cone Mills,Cone Denim's White Oak plant; a denim mill credited by the brand,Bonobos
composition_only. hous,1,noise,,harvest artefact from the scraper's own annotation,Kith
composition_only),1,noise,,harvest artefact,Zilli
commuter,1,noise,,Rhone garment line name (Commuter shirt/pant) not a fabric,Rhone
comfortwear[house],1,house_named_fabric,Jack Victor,house mark with the harvester's [house] annotation attached,Jack Victor
comfortsport,1,house_named_fabric,Redvanly,Redvanly's own fabric-family naming,Redvanly
comfortchino,1,house_named_fabric,Redvanly,Redvanly's own fabric-family naming,Redvanly
colombo,1,mill_or_fibre_supplier,Lanificio Colombo,Italian cashmere mill credited by Suitsupply,Suitsupply
coastal breeze,1,house_named_fabric,Southern Tide,Coastal Breeze is registered by Southern Tide and has its own fabric page,Southern Tide
cmtech collection,1,house_named_fabric,Club Monaco,Club Monaco's in-house technical fabric programme (CM Tech),Club Monaco
cloud 9,1,house_named_fabric,Marine Layer,Marine Layer's Cloud 9 Fleece fabric carried across its own products,Marine Layer
cloud,1,house_named_fabric,TravisMathew,TravisMathew's Cloud fabric/collection on its fabric-tech page,TravisMathew
chinolino,1,house_named_fabric,Incotex,Incotex's coined chino-linen fabric name,Incotex
charles,1,noise,,Mott & Bow fit name from a NYC street,Mott & Bow
cevian-ori,1,house_named_fabric,Visvim,Visvim-coined material name in its usual naming style; appears only on Visvim,Visvim
cervotessile,1,mill_or_fibre_supplier,Cervotessile S.p.A.,Gallarate-based Italian lining fabric maker,Suitsupply
catalina cloth,1,house_named_fabric,J.McLaughlin,J.McLaughlin's signature house fabric,J.McLaughlin
cashwool,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Boggi Milano
cashseta,1,house_named_fabric,Zegna,Zegna's coined cashmere-silk blend name,Zegna
cashmoleskin,1,house_named_fabric,Isaia,Isaia's coined cashmere-moleskin name,Isaia
cashmere flanel,1,noise,,misspelled generic composition descriptor,Fedeli
cashmere denim,1,noise,,generic blend descriptor,Citizens of Humanity
cashco,1,house_named_fabric,Zegna,Zegna's coined cashmere-cotton blend name,Zegna
carries no,1,noise,,sentence fragment captured by the scraper,Loewe
capilene,1,house_named_fabric,Patagonia,Patagonia's proprietary baselayer fabric,Patagonia
canepa,1,mill_or_fibre_supplier,Canepa,Italian silk/fabric mill credited by Suitsupply,Suitsupply
candiani (mill,1,mill_or_fibre_supplier,Candiani Denim,Italian denim mill; the '(mill' suffix is the harvester's annotation,Frame
candiani,1,mill_or_fibre_supplier,Candiani Denim,Italian denim mill credited by Suitsupply,Suitsupply
burberry cotton gabardine (house,1,house_named_fabric,Burberry,gabardine was invented and trademarked by Burberry; annotation '(house' left attached,Burberry
brrr,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Vineyard Vines
brooksease,1,house_named_fabric,Brooks Brothers,Brooks Brothers' own performance fabric name,Brooks Brothers
brookscool. licensed: supima,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Brooks Brothers
broken-in,1,noise,,J.Crew descriptor/product wording for washed chino; not a coined fabric mark,J.Crew
british millerain,1,mill_or_fibre_supplier,British Millerain,English waxed-cotton mill,Polo Ralph Lauren
breatheinterlock,1,house_named_fabric,Vuori,Vuori house fabric name,Vuori
blissblend form,1,house_named_fabric,Vuori,Vuori house fabric name (BlissBlend variant),Vuori
blissblend,1,house_named_fabric,Vuori,Vuori house fabric name,Vuori
biobasedleather,1,unclear,,reads as the descriptor 'bio-based leather' run together; no Bottega Veneta trademark found for it,Bottega Veneta
better cotton,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Polo Ralph Lauren
beste,1,mill_or_fibre_supplier,Beste S.p.A.,Prato-based Italian textile group credited as a mill,Suitsupply
berto industria tessile abaca denim,1,mill_or_fibre_supplier,Berto Industria Tessile,Italian denim mill named on the product,Fendi
bci,1,mill_or_fibre_supplier,Better Cotton,certification: Better Cotton Initiative standard,Ted Baker
basolan,1,mill_or_fibre_supplier,BASF,Basolan is BASF's chlorine-Hercosett wool shrink-resist chemical treatment,Vineyard Vines
baird mcnutt irish linen,1,mill_or_fibre_supplier,Baird McNutt,Northern Irish linen mill credited on the garment,J.Crew
baird mcnutt,1,mill_or_fibre_supplier,Baird McNutt,Northern Irish linen mill,Suitsupply
b-jersey,1,house_named_fabric,Boggi Milano,Boggi's own B-prefixed fabric naming,Boggi Milano
b tech line,1,house_named_fabric,Boggi Milano,Boggi's in-house technical fabric programme,Boggi Milano
awa-ai / awa indigo,1,noise,,Awa indigo denotes indigo from the Awa region of Tokushima; a geographic/traditional descriptor,Sugar Cane
